sim_id,Full_Model_LL,Full_Model_AIC,Full_Model_BIC,Full_Model_nparams,Full_Model_beta_GS,No_Interaction_LL,No_Interaction_AIC,No_Interaction_BIC,No_Interaction_nparams,No_PackYears_LL,No_PackYears_AIC,No_PackYears_BIC,No_PackYears_nparams,No_PackYears_beta_GS,LRT_No_Interaction_chi2,LRT_No_Interaction_pvalue,LRT_No_PackYears_chi2,LRT_No_PackYears_pvalue
120,-11074.1220703125,22202.244140625,22415.638304543474,27,0.42883527278900146,-11083.7177734375,22215.435546875,22405.119248135867,24,-11140.8271484375,22331.654296875,22529.241485688402,25,0.4671538472175598,19.19140625,0.00024958103093419837,133.41015625,0.0
121,-10865.740234375,21785.48046875,21998.874632668474,27,0.45035606622695923,-10861.111328125,21770.22265625,21959.906357510867,24,-10914.7802734375,21879.560546875,22077.147735688402,25,0.4783438444137573,0.0,1.0,98.080078125,0.0
122,-10881.6865234375,21817.373046875,22030.767210793474,27,0.4985769987106323,-10890.2060546875,21828.412109375,22018.095810635867,24,-10886.333984375,21822.66796875,22020.255157563402,25,0.5223435759544373,17.0390625,0.0006937883380572218,9.294921875,0.009585910282598475
123,-11147.7431640625,22349.486328125,22562.880492043474,27,0.484177827835083,-11159.8173828125,22367.634765625,22557.318466885867,24,-11156.8251953125,22363.650390625,22561.237579438402,25,0.4976998567581177,24.1484375,2.325941369152318e-05,18.1640625,0.00011369043905151699
124,-11300.857421875,22655.71484375,22869.109007668474,27,0.43298858404159546,-11312.515625,22673.03125,22862.714951260867,24,-11358.98828125,22767.9765625,22965.563751313402,25,0.46676522493362427,23.31640625,3.4692125011615005e-05,116.26171875,0.0
125,-11060.04296875,22174.0859375,22387.480101418474,27,0.44491249322891235,-11067.0791015625,22182.158203125,22371.841904385867,24,-11105.044921875,22260.08984375,22457.677032563402,25,0.4620715379714966,14.072265625,0.0028084189876808052,90.00390625,0.0
126,-10702.68359375,21459.3671875,21672.761351418474,27,0.44563087821006775,-10704.4541015625,21456.908203125,21646.591904385867,24,-10747.28125,21544.5625,21742.149688813402,25,0.47809600830078125,3.541015625,0.31548136396337423,89.1953125,0.0
127,-10985.1318359375,22024.263671875,22237.657835793474,27,0.4893929958343506,-10998.755859375,22045.51171875,22235.195420010867,24,-11052.705078125,22155.41015625,22352.997345063402,25,0.5226755142211914,27.248046875,5.222891611089686e-06,135.146484375,0.0
128,-10504.2412109375,21062.482421875,21275.876585793474,27,0.4750601053237915,-10512.6904296875,21073.380859375,21263.064560635867,24,-10566.8349609375,21183.669921875,21381.257110688402,25,0.4955883324146271,16.8984375,0.0007415587389455469,125.1875,0.0
129,-10808.4921875,21670.984375,21884.378538918474,27,0.47343623638153076,-10815.880859375,21679.76171875,21869.445420010867,24,-10858.677734375,21767.35546875,21964.942657563402,25,0.5077575445175171,14.77734375,0.0020171571189410153,100.37109375,0.0
130,-11025.8671875,22105.734375,22319.128538918474,27,0.42268723249435425,-11032.6494140625,22113.298828125,22302.982529385867,24,-11064.896484375,22179.79296875,22377.380157563402,25,0.46039435267448425,13.564453125,0.003562146245752462,78.05859375,0.0
131,-11060.0498046875,22174.099609375,22387.493773293474,27,0.4312277138233185,-11072.3603515625,22192.720703125,22382.404404385867,24,-11099.0390625,22248.078125,22445.665313813402,25,0.4479140639305115,24.62109375,1.852947134550753e-05,77.978515625,0.0
132,-11194.9990234375,22443.998046875,22657.392210793474,27,0.5068848133087158,-11218.8017578125,22485.603515625,22675.287216885867,24,-11234.595703125,22519.19140625,22716.778595063402,25,0.5359060764312744,47.60546875,2.58359000859798e-10,79.193359375,0.0
133,-10902.982421875,21859.96484375,22073.359007668474,27,0.4682691693305969,-10918.4140625,21884.828125,22074.511826260867,24,-10948.388671875,21946.77734375,22144.364532563402,25,0.4997619092464447,30.86328125,9.082983712938031e-07,90.8125,0.0
134,-11285.919921875,22625.83984375,22839.234007668474,27,0.4957144558429718,-11294.9912109375,22637.982421875,22827.666123135867,24,-11341.326171875,22732.65234375,22930.239532563402,25,0.516646146774292,18.142578125,0.0004110485928029428,110.8125,0.0
135,-11192.8828125,22439.765625,22653.159788918474,27,0.4808489680290222,-11189.455078125,22426.91015625,22616.593857510867,24,-11200.5087890625,22451.017578125,22648.604766938402,25,0.5200303196907043,0.0,1.0,15.251953125,0.0004876188206783816
136,-10943.9345703125,21941.869140625,22155.263304543474,27,0.5007672905921936,-10957.0830078125,21962.166015625,22151.849716885867,24,-10994.4716796875,22038.943359375,22236.530548188402,25,0.541846513748169,26.296875,8.265330892931466e-06,101.07421875,0.0
137,-10527.92578125,21109.8515625,21323.245726418474,27,0.47037947177886963,-10533.408203125,21114.81640625,21304.500107510867,24,-10565.4013671875,21180.802734375,21378.389923188402,25,0.4845919907093048,10.96484375,0.011917505617804025,74.951171875,0.0
138,-10917.904296875,21889.80859375,22103.202757668474,27,0.47848057746887207,-10939.6513671875,21927.302734375,22116.986435635867,24,-10978.1572265625,22006.314453125,22203.901641938402,25,0.5127999782562256,43.494140625,1.9327885958375646e-09,120.505859375,0.0
139,-11146.7099609375,22347.419921875,22560.814085793474,27,0.48865458369255066,-11154.638671875,22357.27734375,22546.961045010867,24,-11178.4404296875,22406.880859375,22604.468048188402,25,0.4985000491142273,15.857421875,0.001212917124542523,63.4609375,1.6542323066914832e-14
140,-10804.3759765625,21662.751953125,21876.146117043474,27,0.5383642315864563,-10798.005859375,21644.01171875,21833.695420010867,24,-10835.419921875,21720.83984375,21918.427032563402,25,0.5670985579490662,0.0,1.0,62.087890625,3.297362383136715e-14
141,-11024.7197265625,22103.439453125,22316.833617043474,27,0.4915034770965576,-11033.8505859375,22115.701171875,22305.384873135867,24,-11062.408203125,22174.81640625,22372.403595063402,25,0.5102699995040894,18.26171875,0.0003884260240648585,75.376953125,0.0
142,-10929.86328125,21913.7265625,22127.120726418474,27,0.44595739245414734,-10934.775390625,21917.55078125,22107.234482510867,24,-10966.8515625,21983.703125,22181.290313813402,25,0.4719438850879669,9.82421875,0.020120985843011363,73.9765625,1.1102230246251565e-16
